version;id;name;faulty;ef;ep;nf;np;tarantula;ochiai;tarantula_rank;ochiai_rank
23;766;org.joda.time.format.DateTimeFormat.isNumericToken(java.lang.String);False;0;25;1;3803;0.0;0.0;1729.5;1729.5
23;133;org.joda.time.field.RemainderDateTimeField.getMinimumValue();False;0;21;1;3807;0.0;0.0;1729.5;1729.5
23;3261;org.joda.time.format.DateTimeParserBucket.getLocale();False;0;30;1;3798;0.0;0.0;1729.5;1729.5
23;212;org.joda.time.chrono.ZonedChronology.getInstance(org.joda.time.Chronology,org.joda.time.DateTimeZone);False;0;49;1;3779;0.0;0.0;1729.5;1729.5
23;2430;org.joda.time.base.BaseSingleFieldPeriod.standardPeriodIn(org.joda.time.ReadablePeriod,long);False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;2036;org.joda.time.LocalDate.toString();False;0;8;1;3820;0.0;0.0;1729.5;1729.5
23;2045;org.joda.time.LocalDate.withPeriodAdded(org.joda.time.ReadablePeriod,int);False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;2773;org.joda.time.YearMonth.toString(java.lang.String);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;3071;org.joda.time.chrono.LimitChronology$LimitDateTimeField.addWrapField(long,int);False;0;3;1;3825;0.0;0.0;1729.5;1729.5
23;2271;org.joda.time.Days.getDays();False;0;18;1;3810;0.0;0.0;1729.5;1729.5
23;1787;org.joda.time.Interval.withDurationBeforeEnd(org.joda.time.ReadableDuration);False;0;5;1;3823;0.0;0.0;1729.5;1729.5
23;3326;org.joda.time.format.DateTimeFormatterBuilder.appendCenturyOfEra(int,int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;3015;org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone.isCachable();False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;738;org.joda.time.convert.ConverterSet.select(java.lang.Class);False;0;412;1;3416;0.0;0.0;1729.5;1729.5
23;2062;org.joda.time.LocalDate.getYearOfCentury();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2275;org.joda.time.Period.withYears(int);False;0;8;1;3820;0.0;0.0;1729.5;1729.5
23;1140;org.joda.time.DateTime.withDayOfMonth(int);False;0;4;1;3824;0.0;0.0;1729.5;1729.5
23;2809;org.joda.time.MonthDay.<clinit>();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2486;org.joda.time.Weeks.readResolve();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;231;org.joda.time.chrono.ZonedChronology$ZonedDateTimeField(org.joda.time.DateTimeField,org.joda.time.DateTimeZone,org.joda.time.DurationField,org.joda.time.DurationField,org.joda.time.DurationField);False;0;55;1;3773;0.0;0.0;1729.5;1729.5
23;2487;org.joda.time.Weeks.plus(int);False;0;4;1;3824;0.0;0.0;1729.5;1729.5
23;130;org.joda.time.field.RemainderDateTimeField(org.joda.time.field.DividedDateTimeField,org.joda.time.DateTimeFieldType);False;0;21;1;3807;0.0;0.0;1729.5;1729.5
23;2641;org.joda.time.TimeOfDay.withSecondOfMinute(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;883;org.joda.time.Instant.minus(org.joda.time.ReadableDuration);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;891;org.joda.time.chrono.GJEraDateTimeField.get(long);False;0;29;1;3799;0.0;0.0;1729.5;1729.5
23;3000;org.joda.time.tz.DateTimeZoneBuilder$Transition(long,org.joda.time.tz.DateTimeZoneBuilder$Rule,int);False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;1273;org.joda.time.field.AbstractReadableInstantFieldProperty.compareTo(org.joda.time.ReadablePartial);False;0;15;1;3813;0.0;0.0;1729.5;1729.5
23;1830;org.joda.time.LocalDate.getLocalMillis();False;0;156;1;3672;0.0;0.0;1729.5;1729.5
23;600;org.joda.time.format.DateTimeFormatterBuilder$Fraction.estimatePrintedLength();False;0;15;1;3813;0.0;0.0;1729.5;1729.5
23;1276;org.joda.time.base.AbstractPartial.indexOf(org.joda.time.DateTimeFieldType);False;0;206;1;3622;0.0;0.0;1729.5;1729.5
23;1972;org.joda.time.LocalDateTime.withYearOfCentury(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;1865;org.joda.time.base.AbstractPartial.compareTo(org.joda.time.ReadablePartial);False;0;36;1;3792;0.0;0.0;1729.5;1729.5
23;1742;org.joda.time.base.AbstractPeriod.toPeriod();False;0;56;1;3772;0.0;0.0;1729.5;1729.5
23;1329;org.joda.time.field.RemainderDateTimeField.roundFloor(long);False;0;3;1;3825;0.0;0.0;1729.5;1729.5
23;318;org.joda.time.chrono.BasicWeekyearDateTimeField.roundFloor(long);False;0;35;1;3793;0.0;0.0;1729.5;1729.5
23;2165;org.joda.time.LocalTime.millisOfDay();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2434;org.joda.time.base.BaseSingleFieldPeriod.getFieldType(int);False;0;18;1;3810;0.0;0.0;1729.5;1729.5
23;2638;org.joda.time.base.BasePartial.toString(java.lang.String,java.util.Locale);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1835;org.joda.time.LocalDateTime(java.lang.Object,org.joda.time.DateTimeZone);False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;1658;org.joda.time.Minutes.minutes(int);False;0;35;1;3793;0.0;0.0;1729.5;1729.5
23;376;org.joda.time.base.BaseDateTime(int,int,int,int,int,int,int,org.joda.time.Chronology);False;0;860;1;2968;0.0;0.0;1729.5;1729.5
23;3246;org.joda.time.field.UnsupportedDateTimeField.roundHalfCeiling(long);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;220;org.joda.time.field.BaseDurationField.getType();False;0;131;1;3697;0.0;0.0;1729.5;1729.5
23;1534;org.joda.time.DateMidnight$Property.addToCopy(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;83;org.joda.time.DateTimeFieldType.clockhourOfHalfday();False;0;25;1;3803;0.0;0.0;1729.5;1729.5
23;1313;org.joda.time.field.AbstractReadableInstantFieldProperty.remainder();False;0;3;1;3825;0.0;0.0;1729.5;1729.5
23;2706;org.joda.time.YearMonthDay(org.joda.time.YearMonthDay,int[]);False;0;32;1;3796;0.0;0.0;1729.5;1729.5
23;144;org.joda.time.chrono.BasicMonthOfYearDateTimeField(org.joda.time.chrono.BasicChronology,int);False;0;16;1;3812;0.0;0.0;1729.5;1729.5
23;2799;org.joda.time.YearMonth(org.joda.time.DateTimeZone);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;2347;org.joda.time.Seconds.getSeconds();False;0;18;1;3810;0.0;0.0;1729.5;1729.5
23;2183;org.joda.time.LocalTime$Property.roundCeilingCopy();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2823;org.joda.time.MonthDay.plusMonths(int);False;0;4;1;3824;0.0;0.0;1729.5;1729.5
23;1050;org.joda.time.base.BaseLocal();False;0;551;1;3277;0.0;0.0;1729.5;1729.5
23;390;org.joda.time.chrono.GJChronology.gregorianToJulianByYear(long);False;0;95;1;3733;0.0;0.0;1729.5;1729.5
23;1869;org.joda.time.LocalDateTime.toString(java.lang.String);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;160;org.joda.time.chrono.ISOChronology(org.joda.time.Chronology);False;0;23;1;3805;0.0;0.0;1729.5;1729.5
23;1137;org.joda.time.chrono.GJChronology.getDateTimeMillis(int,int,int,int,int,int,int);False;0;17;1;3811;0.0;0.0;1729.5;1729.5
23;1790;org.joda.time.base.AbstractInterval.toMutableInterval();False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1981;org.joda.time.LocalDateTime.toDateTime();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;518;org.joda.time.chrono.IslamicChronology.getInstanceUTC();False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;1496;org.joda.time.DateMidnight.plusDays(int);False;0;3;1;3825;0.0;0.0;1729.5;1729.5
23;281;org.joda.time.chrono.GJChronology.julianToGregorianByYear(long);False;0;16;1;3812;0.0;0.0;1729.5;1729.5
23;1695;org.joda.time.Hours(int);False;0;24;1;3804;0.0;0.0;1729.5;1729.5
23;2741;org.joda.time.YearMonthDay$Property.addToCopy(int);False;0;3;1;3825;0.0;0.0;1729.5;1729.5
23;2224;org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritablePeriod,java.lang.Object,org.joda.time.Chronology);False;0;12;1;3816;0.0;0.0;1729.5;1729.5
23;2455;org.joda.time.field.FieldUtils.safeNegate(int);False;0;38;1;3790;0.0;0.0;1729.5;1729.5
23;1614;org.joda.time.base.BasePeriod(org.joda.time.ReadableDuration,org.joda.time.ReadableInstant,org.joda.time.PeriodType);False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;499;org.joda.time.chrono.EthiopicChronology.getMaxYear();False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;2052;org.joda.time.chrono.StrictChronology.withUTC();False;0;5;1;3823;0.0;0.0;1729.5;1729.5
23;3420;org.joda.time.format.ISOPeriodFormat();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;932;org.joda.time.DateTime(org.joda.time.DateTimeZone);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;2667;org.joda.time.field.BaseDateTimeField.add(org.joda.time.ReadablePartial,int,int[],int);False;0;47;1;3781;0.0;0.0;1729.5;1729.5
23;555;org.joda.time.chrono.ISOChronology.hashCode();False;0;24;1;3804;0.0;0.0;1729.5;1729.5
23;1662;org.joda.time.base.BaseSingleFieldPeriod.getValue();False;0;198;1;3630;0.0;0.0;1729.5;1729.5
23;1154;org.joda.time.field.DividedDateTimeField.set(long,int);False;0;4;1;3824;0.0;0.0;1729.5;1729.5
23;3269;org.joda.time.format.DateTimeFormatter.isParser();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2048;org.joda.time.LocalDate.withField(org.joda.time.DateTimeFieldType,int);False;0;4;1;3824;0.0;0.0;1729.5;1729.5
23;2997;org.joda.time.tz.DateTimeZoneBuilder$RuleSet.firstTransition(long);False;0;7;1;3821;0.0;0.0;1729.5;1729.5
23;1543;org.joda.time.Duration(long,long);False;0;4;1;3824;0.0;0.0;1729.5;1729.5
23;818;org.joda.time.format.ISODateTimeFormat.timeElementParser();False;0;8;1;3820;0.0;0.0;1729.5;1729.5
23;185;org.joda.time.chrono.AssembledChronology.clockhourOfDay();False;0;114;1;3714;0.0;0.0;1729.5;1729.5
23;2162;org.joda.time.LocalTime.minuteOfHour();False;0;10;1;3818;0.0;0.0;1729.5;1729.5
23;3028;org.joda.time.field.UnsupportedDateTimeField.getDurationField();False;0;7;1;3821;0.0;0.0;1729.5;1729.5
23;1713;org.joda.time.base.BaseInterval.setInterval(long,long,org.joda.time.Chronology);False;0;57;1;3771;0.0;0.0;1729.5;1729.5
23;2178;org.joda.time.LocalTime$Property.addCopy(int);False;0;4;1;3824;0.0;0.0;1729.5;1729.5
23;3360;org.joda.time.format.ISODateTimeFormat.weekyearWeekDay();False;0;5;1;3823;0.0;0.0;1729.5;1729.5
23;3327;org.joda.time.format.DateTimeFormatterBuilder$TwoDigitYear.printTo(java.lang.StringBuffer,long,org.joda.time.Chronology,int,org.joda.time.DateTimeZone,java.util.Locale);False;0;8;1;3820;0.0;0.0;1729.5;1729.5
23;1509;org.joda.time.DateMidnight.withEra(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;1967;org.joda.time.LocalDateTime.withDayOfMonth(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;897;org.joda.time.field.ZeroIsMaxDateTimeField.get(long);False;0;28;1;3800;0.0;0.0;1729.5;1729.5
23;797;org.joda.time.base.AbstractInstant.toInstant();False;0;7;1;3821;0.0;0.0;1729.5;1729.5
